country,iso,year,age_group,sex,education,score
Armenia,51,2015,15-19,Male,Primary or less,261.4575513
Armenia,51,2015,20-24,Male,Primary or less,213.1120476
Armenia,51,2015,25-29,Male,Primary or less,222.6459107
Armenia,51,2015,30-34,Male,Primary or less,235.4998177
Armenia,51,2015,35-39,Male,Primary or less,230.556217
Armenia,51,2015,40-44,Male,Primary or less,257.5600155
Armenia,51,2015,45-49,Male,Primary or less,245.6000456
Armenia,51,2015,50-54,Male,Primary or less,243.9784072
Armenia,51,2015,55-59,Male,Primary or less,199.6141131
Armenia,51,2015,60-64,Male,Primary or less,236.1205188
Austria,40,2015,15-19,Male,Primary or less,214.83
Austria,40,2015,20-24,Male,Primary or less,253.5
Austria,40,2015,25-29,Male,Primary or less,170.12
Austria,40,2015,30-34,Male,Primary or less,192.15
Austria,40,2015,35-39,Male,Primary or less,255.43
Austria,40,2015,40-44,Male,Primary or less,235.69
Austria,40,2015,45-49,Male,Primary or less,209.91
Austria,40,2015,50-54,Male,Primary or less,193.24
Austria,40,2015,55-59,Male,Primary or less,225.16
Austria,40,2015,60-64,Male,Primary or less,180.19
Belgium,56,2015,15-19,Male,Primary or less,274.03
Belgium,56,2015,20-24,Male,Primary or less,210.54
Belgium,56,2015,25-29,Male,Primary or less,240.55
Belgium,56,2015,30-34,Male,Primary or less,223.48
Belgium,56,2015,35-39,Male,Primary or less,160.73
Belgium,56,2015,40-44,Male,Primary or less,215.43
Belgium,56,2015,45-49,Male,Primary or less,209.57
Belgium,56,2015,50-54,Male,Primary or less,226.9
Belgium,56,2015,55-59,Male,Primary or less,212.58
Belgium,56,2015,60-64,Male,Primary or less,222.28
Bolivia (Plurinational State of),68,2015,15-19,Male,Primary or less,62.09302204
Bolivia (Plurinational State of),68,2015,20-24,Male,Primary or less,134.2069413
Bolivia (Plurinational State of),68,2015,25-29,Male,Primary or less,137.2575824
Bolivia (Plurinational State of),68,2015,30-34,Male,Primary or less,176.4670797
Bolivia (Plurinational State of),68,2015,35-39,Male,Primary or less,174.6260956
Bolivia (Plurinational State of),68,2015,40-44,Male,Primary or less,158.6369578
Bolivia (Plurinational State of),68,2015,45-49,Male,Primary or less,53.28815402
Bolivia (Plurinational State of),68,2015,50-54,Male,Primary or less,78.91415126
Bolivia (Plurinational State of),68,2015,55-59,Male,Primary or less,98.74834483
Bolivia (Plurinational State of),68,2015,60-64,Male,Primary or less,127.1385128
Canada,124,2015,15-19,Male,Primary or less,235.32
Canada,124,2015,20-24,Male,Primary or less,227.04
Canada,124,2015,25-29,Male,Primary or less,226.07
Canada,124,2015,30-34,Male,Primary or less,181.61
Canada,124,2015,35-39,Male,Primary or less,216.92
Canada,124,2015,40-44,Male,Primary or less,214.27
Canada,124,2015,45-49,Male,Primary or less,184.73
Canada,124,2015,50-54,Male,Primary or less,187.93
Canada,124,2015,55-59,Male,Primary or less,199.97
Canada,124,2015,60-64,Male,Primary or less,202.47
Chile,152,2015,15-19,Male,Primary or less,153.26
Chile,152,2015,20-24,Male,Primary or less,167.83
Chile,152,2015,25-29,Male,Primary or less,198.93
Chile,152,2015,30-34,Male,Primary or less,169.95
Chile,152,2015,35-39,Male,Primary or less,188.64
Chile,152,2015,40-44,Male,Primary or less,148.9
Chile,152,2015,45-49,Male,Primary or less,159.85
Chile,152,2015,50-54,Male,Primary or less,158.15
Chile,152,2015,55-59,Male,Primary or less,154.41
Chile,152,2015,60-64,Male,Primary or less,156.53
Colombia,170,2015,15-19,Male,Primary or less,166.11265
Colombia,170,2015,20-24,Male,Primary or less,183.0182466
Colombia,170,2015,25-29,Male,Primary or less,170.3267438
Colombia,170,2015,30-34,Male,Primary or less,165.0794482
Colombia,170,2015,35-39,Male,Primary or less,179.1566353
Colombia,170,2015,40-44,Male,Primary or less,197.6179396
Colombia,170,2015,45-49,Male,Primary or less,202.4381672
Colombia,170,2015,50-54,Male,Primary or less,188.9750095
Colombia,170,2015,55-59,Male,Primary or less,156.0090804
Colombia,170,2015,60-64,Male,Primary or less,144.0134813
Cyprus,196,2015,15-19,Male,Primary or less,247.94
Cyprus,196,2015,20-24,Male,Primary or less,242.11
Cyprus,196,2015,25-29,Male,Primary or less,242.81
Cyprus,196,2015,30-34,Male,Primary or less,226.57
Cyprus,196,2015,35-39,Male,Primary or less,246.22
Cyprus,196,2015,40-44,Male,Primary or less,245.09
Cyprus,196,2015,45-49,Male,Primary or less,238.73
Cyprus,196,2015,50-54,Male,Primary or less,240.95
Cyprus,196,2015,55-59,Male,Primary or less,242.22
Cyprus,196,2015,60-64,Male,Primary or less,240.28
Czech Republic,203,2015,15-19,Male,Primary or less,269.35
Czech Republic,203,2015,20-24,Male,Primary or less,254.79
Czech Republic,203,2015,25-29,Male,Primary or less,251.69
Czech Republic,203,2015,30-34,Male,Primary or less,273.41
Czech Republic,203,2015,35-39,Male,Primary or less,292.61
Czech Republic,203,2015,40-44,Male,Primary or less,252.76
Czech Republic,203,2015,45-49,Male,Primary or less,234.94
Czech Republic,203,2015,50-54,Male,Primary or less,239.87
Czech Republic,203,2015,55-59,Male,Primary or less,230.33
Czech Republic,203,2015,60-64,Male,Primary or less,224.2
Denmark,208,2015,15-19,Male,Primary or less,231.96
Denmark,208,2015,20-24,Male,Primary or less,203.61
Denmark,208,2015,25-29,Male,Primary or less,193.59
Denmark,208,2015,30-34,Male,Primary or less,178.49
Denmark,208,2015,35-39,Male,Primary or less,166.74
Denmark,208,2015,40-44,Male,Primary or less,262.99
Denmark,208,2015,45-49,Male,Primary or less,159.52
Denmark,208,2015,50-54,Male,Primary or less,208.11
Denmark,208,2015,55-59,Male,Primary or less,150.35
Denmark,208,2015,60-64,Male,Primary or less,168.85
Ecuador,218,2015,15-19,Male,Primary or less,189.32
Ecuador,218,2015,20-24,Male,Primary or less,162.22
Ecuador,218,2015,25-29,Male,Primary or less,170.78
Ecuador,218,2015,30-34,Male,Primary or less,178.41
Ecuador,218,2015,35-39,Male,Primary or less,173.1
Ecuador,218,2015,40-44,Male,Primary or less,167.31
Ecuador,218,2015,45-49,Male,Primary or less,172.57
Ecuador,218,2015,50-54,Male,Primary or less,161.28
Ecuador,218,2015,55-59,Male,Primary or less,172.53
Ecuador,218,2015,60-64,Male,Primary or less,155.88
Estonia,233,2015,15-19,Male,Primary or less,267.7
Estonia,233,2015,20-24,Male,Primary or less,255.72
Estonia,233,2015,25-29,Male,Primary or less,198.78
Estonia,233,2015,30-34,Male,Primary or less,237.3
Estonia,233,2015,35-39,Male,Primary or less,220.34
Estonia,233,2015,40-44,Male,Primary or less,242.15
Estonia,233,2015,45-49,Male,Primary or less,229.6
Estonia,233,2015,50-54,Male,Primary or less,235.59
Estonia,233,2015,55-59,Male,Primary or less,179.83
Estonia,233,2015,60-64,Male,Primary or less,217.26
Finland,246,2015,15-19,Male,Primary or less,227.2
Finland,246,2015,20-24,Male,Primary or less,289.38
Finland,246,2015,25-29,Male,Primary or less,278.02
Finland,246,2015,30-34,Male,Primary or less,246.6
Finland,246,2015,35-39,Male,Primary or less,269.97
Finland,246,2015,40-44,Male,Primary or less,274.42
Finland,246,2015,45-49,Male,Primary or less,262.72
Finland,246,2015,50-54,Male,Primary or less,235.89
Finland,246,2015,55-59,Male,Primary or less,232.37
Finland,246,2015,60-64,Male,Primary or less,233.23
France,250,2015,15-19,Male,Primary or less,212.28
France,250,2015,20-24,Male,Primary or less,171.08
